Vial_Name,D,C,E,c,e,f,C_w,V,M,N,S,s,P1,Le_a,Le_b,Lu_a,Lu_b,K,k,Kp_a,Js_a,Fy_a,Fy_b,Jk_a,Jk_b,Xg_a
1,0,0,0,1,1,1,0,0,0,1,0,1,2,0,1,0,1,1,1,0,0,1,0,0,1,0
2,0,0,0,1,1,1,0,0,1,1,0,1,3,0,1,1,1,1,1,0,0,0,1,0,1,1
3,0,1,0,1,1,1,0,0,1,1,0,1,3,0,1,0,1,0,1,0,0,1,0,1,1,1
4,0,0,1,1,1,1,0,0,1,1,1,0,2,3,0,0,1,0,1,0,0,1,1,0,1,1
5,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
6,1,0,0,1,1,1,0,1,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1
7,1,1,0,0,1,-1,0,0,1,0,1,1,2,1,0,0,1,0,1,0,0,0,1,0,1,1
8,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1
9,1,1,0,0,1,0,1,0,1,1,0,1,2,1,0,0,1,0,1,0,0,1,1,1,0,1
10,1,0,1,1,0,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0,0,1,0,1,1
11,1,0,0,1,1,1,0,0,0,1,0,1,2,1,0,0,1,0,1,0,1,0,0,1,0,0
